240.0,251.5
250.0,246.0
264.0,244.0
277.0,246.5
291.5,254.0
320.5,256.0
335.5,251.5
347.0,250.0
357.0,253.0
360.0,260.0
249.5,266.5
256.5,262.0
268.0,258.5
282.5,265.5
286.0,273.5
275.0,277.0
267.0,276.0
257.0,272.0
316.5,271.5
323.5,263.5
332.5,260.5
344.0,263.0
348.0,269.0
343.0,274.0
335.0,277.5
324.5,276.0
296.5,272.0
292.0,291.0
290.0,303.5
287.0,322.5
297.5,327.0
305.5,328.5
312.5,327.0
319.0,323.0
318.5,308.0
317.0,295.5
313.0,274.5
264.0,348.0
282.5,347.0
303.0,344.5
313.0,345.5
319.0,348.5
308.5,362.0
295.5,365.0
281.0,359.5
201.0,315.0
208.5,341.0
222.5,362.0
240.5,380.5
260.0,385.5
273.0,388.0
289.0,389.5
302.0,386.5
314.0,374.0
321.5,358.5
331.0,343.0
340.0,324.0
349.0,303.5

